Description: This is a version of the input file 'infimm1.txt'`used with the
             TB`IBM.`It specifies the probabilities of various disease states
             for migrants upon entry to the UK.`This version is ARImed,`
             and was constructed using the ARI`method for 'infimm',`using
             mid-value ARIs`for ONUK,`UK,`and SSA-born.
             for UK-born.
Label a:     Age in years
Label s:`    Sex, 0=male, 1=female
Label r:`    Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:`    Array index for year (0=1981)
Label q:`    Disease state, cumlative`probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |y  |q0 |q1          |q2          |q3          |q4          |q5          |q6          |q7          |q8
|107 |0 |0 | 0 | 0 |0.000275413 |0.000275413 |0.000283143 |0.964011767 |0.994146732 |0.994148546 |0.996136979 | 1
|108 |0 |0 | 0 | 0 |0.000220688 |0.000220688 |0.000226882 |0.964010051 |0.994146732 |0.994148186 |0.99613674  | 1
|109 |0 |0 | 0 | 0 |0.000176838 |0.000176838 |0.000181801 |0.964008676 |0.994146732 |0.994147897 |0.996136549 | 1
|110 |0 |0 | 0 | 0 |0.0001417   |0.0001417   |0.000145677 |0.964007574 |0.994146732 |0.994147666 |0.996136395 | 1
|111 |0 |0 | 0 | 0 |0.000113545 |0.000113545 |0.000116731 |0.964006691 |0.994146732 |0.99414748  |0.996136272 | 1
|112 |0 |0 | 0 | 0 |9.09834E-05 |9.09834E-05 |9.3537E-05  |0.964005983 |0.994146732 |0.994147332 |0.996136173 | 1
|113 |0 |0 | 0 | 0 |7.29051E-05 |7.29051E-05 |7.49513E-05 |0.964005416 |0.994146732 |0.994147213 |0.996136094 | 1
|114 |0 |0 | 0 | 0 |5.84189E-05 |5.84189E-05 |6.00585E-05 |0.964004962 |0.994146732 |0.994147117 |0.996136031 | 1
|115 |0 |0 | 0 | 0 |4.68112E-05 |4.68112E-05 |4.8125E-05  |0.964004598 |0.994146732 |0.994147041 |0.99613598  | 1
|116 |0 |0 | 0 | 0 |3.75098E-05 |3.75098E-05 |3.85626E-05 |0.964004306 |0.994146732 |0.994146979 |0.99613594  | 1
|117 |0 |0 | 0 | 0 |3.00567E-05 |3.00567E-05 |3.09002E-05 |0.964004072 |0.994146732 |0.99414693  |0.996135907 | 1
|118 |0 |0 | 0 | 0 |2.40844E-05 |2.40844E-05 |2.47604E-05 |0.964003885 |0.994146732 |0.994146891 |0.996135881 | 1
|119 |0 |0 | 0 | 0 |1.92989E-05 |1.92989E-05 |1.98405E-05 |0.964003735 |0.994146732 |0.994146859 |0.99613586  | 1
|120 |0 |0 | 0 | 0 |1.54642E-05 |1.54642E-05 |1.58982E-05 |0.964003615 |0.994146732 |0.994146834 |0.996135843 | 1
|  0 |1 |0 | 0 | 0 |0.996602109 |0.996602109 |0.996602109 |0.996602109 |0.996602109 |1.          |1.          | 1
|  1 |1 |0 | 0 | 0 |0.98983518  |0.98983518  |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  2 |1 |0 | 0 | 0 |0.983114199 |0.983114199 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  3 |1 |0 | 0 | 0 |0.976438854 |0.976438854 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  4 |1 |0 | 0 | 0 |0.969808834 |0.969808834 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  5 |1 |0 | 0 | 0 |0.963223832 |0.963223832 |0.99075314  |0.994136585 |0.994146732 |0.999995701 |0.999995701 | 1
|  6 |1 |0 | 0 | 0 |0.956683542 |0.956683542 |0.98400344  |0.994096163 |0.994146732 |0.999978473 |0.999978473 | 1
|  7 |1 |0 | 0 | 0 |0.950187661 |0.950187661 |0.977313414 |0.994023677 |0.994146732 |0.999947518 |0.999947518 | 1
|  8 |1 |0 | 0 | 0 |0.943735887 |0.943735887 |0.9706825   |0.993919187 |0.994146732 |0.999903086 |0.999903087 | 1
|  9 |1 |0 | 0 | 0 |0.93732792  |0.93732792  |0.964109949 |0.993782562 |0.994146732 |0.999845617 |0.999845618 | 1
| 10 |1 |0 | 0 | 0 |0.930963464 |0.930963464 |0.957478375 |0.993505547 |0.994146732 |0.99989219  |0.999898123 | 1
| 11 |1 |0 | 0 | 0 |0.924642222 |0.924642222 |0.950843826 |0.99317793  |0.994146732 |0.999986448 |0.999999872 | 1
| 12 |1 |0 | 0 | 0 |0.918363901 |0.918363901 |0.944350063 |0.992953627 |0.994146732 |0.99998433  |0.999999841 | 1
| 13 |1 |0 | 0 | 0 |0.91212821  |0.91212821  |0.93790042  |0.992730847 |0.994146732 |0.999982199 |0.999999811 | 1
| 14 |1 |0 | 0 | 0 |0.90593486  |0.90593486  |0.931494598 |0.99250958  |0.994146732 |0.999980055 |0.99999978  | 1
| 15 |1 |0 | 0 | 0 |0.899783562 |0.899783562 |0.925132298 |0.992289815 |0.994146732 |0.999977898 |0.999999748 | 1
| 16 |1 |0 | 0 | 0 |0.893674032 |0.893674032 |0.918813227 |0.992071544 |0.994146732 |0.999975727 |0.999999717 | 1
| 17 |1 |0 | 0 | 0 |0.887605985 |0.887605985 |0.91253709  |0.991854755 |0.994146732 |0.999973544 |0.999999685 | 1
| 18 |1 |0 | 0 | 0 |0.88157914  |0.88157914  |0.906303596 |0.991639438 |0.994146732 |0.999971347 |0.999999654 | 1
| 19 |1 |0 | 0 | 0 |0.875593218 |0.875593218 |0.900112455 |0.991425584 |0.994146732 |0.999969137 |0.999999622 | 1
| 20 |1 |0 | 0 | 0 |0.86964794  |0.86964794  |0.893963381 |0.991213182 |0.994146732 |0.999966913 |0.999999589 | 1
| 21 |1 |0 | 0 | 0 |0.86374303  |0.86374303  |0.887856088 |0.991002223 |0.994146732 |0.999964676 |0.999999557 | 1
| 22 |1 |0 | 0 | 0 |0.857878215 |0.857878215 |0.881790292 |0.990792696 |0.994146732 |0.999962425 |0.999999524 | 1
| 23 |1 |0 | 0 | 0 |0.852053222 |0.852053222 |0.875765712 |0.990584593 |0.994146732 |0.999960161 |0.999999492 | 1
| 24 |1 |0 | 0 | 0 |0.846267781 |0.846267781 |0.869782067 |0.990377903 |0.994146732 |0.999957883 |0.999999459 | 1
| 25 |1 |0 | 0 | 0 |0.840320504 |0.840320504 |0.863631074 |0.990165432 |0.994146732 |0.99995551  |0.999999424 | 1
| 26 |1 |0 | 0 | 0 |0.833759246 |0.833759246 |0.856845106 |0.989931027 |0.994146732 |0.999952855 |0.999999386 | 1
| 27 |1 |0 | 0 | 0 |0.826276587 |0.826276587 |0.849106229 |0.989663704 |0.994146732 |0.999949779 |0.999999341 | 1
| 28 |1 |0 | 0 | 0 |0.817753191 |0.817753191 |0.840291043 |0.989359202 |0.994146732 |0.999946211 |0.99999929  | 1
| 29 |1 |0 | 0 | 0 |0.80805747  |0.80805747  |0.830263484 |0.989012819 |0.994146732 |0.999942066 |0.99999923  | 1
| 30 |1 |0 | 0 | 0 |0.797045393 |0.797045393 |0.818874633 |0.98861941  |0.994146732 |0.999937242 |0.99999916  | 1
| 31 |1 |0 | 0 | 0 |0.784560714 |0.784560714 |0.805962949 |0.988173394 |0.994146732 |0.99993162  |0.999999079 | 1
| 32 |1 |0 | 0 | 0 |0.770435788 |0.770435788 |0.791355123 |0.987668784 |0.994146732 |0.999925054 |0.999998984 | 1
| 33 |1 |0 | 0 | 0 |0.755297196 |0.755297196 |0.77569923  |0.987127964 |0.994146732 |0.999917762 |0.999998878 | 1
| 34 |1 |0 | 0 | 0 |0.739853835 |0.739853835 |0.759728441 |0.986576261 |0.994146732 |0.999910036 |0.999998766 | 1
| 35 |1 |0 | 0 | 0 |0.724112384 |0.724112384 |0.743449699 |0.986013913 |0.994146732 |0.999901844 |0.999998648 | 1
| 36 |1 |0 | 0 | 0 |0.708080684 |0.708080684 |0.726871149 |0.985441201 |0.994146732 |0.999893153 |0.999998522 | 1
| 37 |1 |0 | 0 | 0 |0.691767788 |0.691767788 |0.710002197 |0.98485845  |0.994146732 |0.999883924 |0.999998389 | 1
| 38 |1 |0 | 0 | 0 |0.675184018 |0.675184018 |0.692853561 |0.984266028 |0.994146732 |0.999874118 |0.999998247 | 1
| 39 |1 |0 | 0 | 0 |0.658341011 |0.658341011 |0.675437327 |0.983664352 |0.994146732 |0.999863689 |0.999998096 | 1
| 40 |1 |0 | 0 | 0 |0.641251767 |0.641251767 |0.657766994 |0.983053888 |0.994146732 |0.99985259  |0.999997935 | 1
| 41 |1 |0 | 0 | 0 |0.62393069  |0.62393069  |0.639857519 |0.98243515  |0.994146732 |0.999840767 |0.999997764 | 1
| 42 |1 |0 | 0 | 0 |0.606393624 |0.606393624 |0.621725351 |0.981808706 |0.994146732 |0.999828163 |0.999997582 | 1
| 43 |1 |0 | 0 | 0 |0.58865788  |0.58865788  |0.603388465 |0.981175175 |0.994146732 |0.999814714 |0.999997387 | 1
| 44 |1 |0 | 0 | 0 |0.570742261 |0.570742261 |0.584866386 |0.98053523  |0.994146732 |0.99980035  |0.999997179 | 1
| 45 |1 |0 | 0 | 0 |0.552667072 |0.552667072 |0.566180198 |0.979889597 |0.994146732 |0.999784996 |0.999996957 | 1
| 46 |1 |0 | 0 | 0 |0.534454123 |0.534454123 |0.547352551 |0.979239058 |0.994146732 |0.999768566 |0.99999672  | 1
| 47 |1 |0 | 0 | 0 |0.516126723 |0.516126723 |0.528407653 |0.978584447 |0.994146732 |0.99975097  |0.999996465 | 1
| 48 |1 |0 | 0 | 0 |0.497709659 |0.497709659 |0.509371254 |0.977926649 |0.994146732 |0.999732105 |0.999996192 | 1
