Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
|109 |0 |0 |0.00012957 |0.00012957 |0.00013365 |0.96810998 |0.99933639 |0.99933648 |0.99957311 |1.
|110 |0 |0 |0.00010383 |0.00010383 |0.0001071  |0.96810914 |0.99933639 |0.99933646 |0.99957309 |1.
|111 |0 |0 |0.0000832  |0.0000832  |0.00008582 |0.96810846 |0.99933639 |0.99933645 |0.99957308 |1.
|112 |0 |0 |0.00006667 |0.00006667 |0.00006877 |0.96810792 |0.99933639 |0.99933644 |0.99957308 |1.
|113 |0 |0 |0.00005342 |0.00005342 |0.0000551  |0.96810749 |0.99933639 |0.99933643 |0.99957307 |1.
|114 |0 |0 |0.00004281 |0.00004281 |0.00004415 |0.96810714 |0.99933639 |0.99933642 |0.99957306 |1.
|115 |0 |0 |0.0000343  |0.0000343  |0.00003538 |0.96810686 |0.99933639 |0.99933641 |0.99957306 |1.
|116 |0 |0 |0.00002748 |0.00002748 |0.00002835 |0.96810664 |0.99933639 |0.99933641 |0.99957306 |1.
|117 |0 |0 |0.00002202 |0.00002202 |0.00002272 |0.96810646 |0.99933639 |0.9993364  |0.99957306 |1.
|118 |0 |0 |0.00001765 |0.00001765 |0.0000182  |0.96810632 |0.99933639 |0.9993364  |0.99957305 |1.
|119 |0 |0 |0.00001414 |0.00001414 |0.00001459 |0.96810621 |0.99933639 |0.9993364  |0.99957305 |1.
|120 |0 |0 |0.00001133 |0.00001133 |0.00001169 |0.96810611 |0.99933639 |0.9993364  |0.99957305 |1.
|  0 |1 |0 |0.99683675 |0.99683675 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  1 |1 |0 |0.99053524 |0.99053524 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  2 |1 |0 |0.98427358 |0.98427358 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  3 |1 |0 |0.9780515  |0.9780515  |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  4 |1 |0 |0.97186874 |0.97186874 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  5 |1 |0 |0.96572508 |0.96572508 |0.99617359 |0.99932432 |0.99933639 |0.99999955 |0.99999955 |1.
|  6 |1 |0 |0.95962025 |0.95962025 |0.9898739  |0.99927617 |0.99933639 |0.99999773 |0.99999773 |1.
|  7 |1 |0 |0.95355401 |0.95355401 |0.9836155  |0.99918976 |0.99933639 |0.99999447 |0.99999447 |1.
|  8 |1 |0 |0.94752612 |0.94752612 |0.9773981  |0.99906531 |0.99933639 |0.99998978 |0.99998978 |1.
|  9 |1 |0 |0.94153634 |0.94153634 |0.97122141 |0.99890303 |0.99933639 |0.99998372 |0.99998372 |1.
| 10 |1 |0 |0.93558442 |0.93558442 |0.96507289 |0.99870271 |0.99933639 |0.99998858 |0.99998925 |1.
| 11 |1 |0 |0.92967012 |0.92967012 |0.95895817 |0.99849593 |0.99933639 |0.99999847 |0.99999999 |1.
| 12 |1 |0 |0.92379322 |0.92379322 |0.95289217 |0.99830112 |0.99933639 |0.99999823 |0.99999998 |1.
| 13 |1 |0 |0.91795346 |0.91795346 |0.94686452 |0.99810754 |0.99933639 |0.99999799 |0.99999998 |1.
| 14 |1 |0 |0.91215062 |0.91215062 |0.94087498 |0.99791519 |0.99933639 |0.99999774 |0.99999998 |1.
| 15 |1 |0 |0.90638446 |0.90638446 |0.93492331 |0.99772406 |0.99933639 |0.9999975  |0.99999997 |1.
| 16 |1 |0 |0.90065475 |0.90065475 |0.92900926 |0.99753413 |0.99933639 |0.99999726 |0.99999997 |1.
| 17 |1 |0 |0.89496127 |0.89496127 |0.92313259 |0.9973454  |0.99933639 |0.99999701 |0.99999997 |1.
| 18 |1 |0 |0.88930377 |0.88930377 |0.91729309 |0.99715787 |0.99933639 |0.99999676 |0.99999996 |1.
| 19 |1 |0 |0.88368204 |0.88368204 |0.91149049 |0.99697152 |0.99933639 |0.99999651 |0.99999996 |1.
| 20 |1 |0 |0.87809585 |0.87809585 |0.90572459 |0.99678635 |0.99933639 |0.99999626 |0.99999996 |1.
| 21 |1 |0 |0.87254497 |0.87254497 |0.89999513 |0.99660235 |0.99933639 |0.99999601 |0.99999995 |1.
| 22 |1 |0 |0.86702917 |0.86702917 |0.8943019  |0.99641951 |0.99933639 |0.99999576 |0.99999995 |1.
| 23 |1 |0 |0.86144618 |0.86144618 |0.8885393  |0.99623445 |0.99933639 |0.9999955  |0.99999995 |1.
| 24 |1 |0 |0.85517233 |0.85517233 |0.88206362 |0.99602648 |0.99933639 |0.9999952  |0.99999994 |1.
| 25 |1 |0 |0.84801364 |0.84801364 |0.87467466 |0.99578919 |0.99933639 |0.99999486 |0.99999994 |1.
| 26 |1 |0 |0.8398543  |0.8398543  |0.86625285 |0.99551873 |0.99933639 |0.99999446 |0.99999993 |1.
| 27 |1 |0 |0.83056618 |0.83056618 |0.85666597 |0.99521084 |0.99933639 |0.999994   |0.99999993 |1.
| 28 |1 |0 |0.82000853 |0.82000853 |0.84576873 |0.99486088 |0.99933639 |0.99999347 |0.99999992 |1.
| 29 |1 |0 |0.80802789 |0.80802789 |0.83340275 |0.99446375 |0.99933639 |0.99999285 |0.99999991 |1.
| 30 |1 |0 |0.7944587  |0.7944587  |0.81939713 |0.99401396 |0.99933639 |0.99999212 |0.9999999  |1.
| 31 |1 |0 |0.77933085 |0.77933085 |0.80378277 |0.99351251 |0.99933639 |0.99999128 |0.99999989 |1.
| 32 |1 |0 |0.76370986 |0.76370986 |0.78765944 |0.99299471 |0.99933639 |0.99999038 |0.99999988 |1.
| 33 |1 |0 |0.74778082 |0.74778082 |0.77121817 |0.9924667  |0.99933639 |0.99998943 |0.99999987 |1.
| 34 |1 |0 |0.73155111 |0.73155111 |0.75446663 |0.99192872 |0.99933639 |0.99998842 |0.99999985 |1.
| 35 |1 |0 |0.71502938 |0.71502938 |0.7374137  |0.99138107 |0.99933639 |0.99998735 |0.99999984 |1.
| 36 |1 |0 |0.6982255  |0.6982255  |0.72006961 |0.99082406 |0.99933639 |0.99998622 |0.99999982 |1.
| 37 |1 |0 |0.68115069 |0.68115069 |0.70244593 |0.99025807 |0.99933639 |0.99998501 |0.99999981 |1.
| 38 |1 |0 |0.66381752 |0.66381752 |0.68455564 |0.98968352 |0.99933639 |0.99998372 |0.99999979 |1.
| 39 |1 |0 |0.64624    |0.64624    |0.66641321 |0.98910087 |0.99933639 |0.99998235 |0.99999977 |1.
| 40 |1 |0 |0.62843355 |0.62843355 |0.64803457 |0.98851064 |0.99933639 |0.9999809  |0.99999975 |1.
| 41 |1 |0 |0.61041511 |0.61041511 |0.62943721 |0.98791337 |0.99933639 |0.99997934 |0.99999973 |1.
| 42 |1 |0 |0.59220314 |0.59220314 |0.61064018 |0.9873097  |0.99933639 |0.99997768 |0.99999971 |1.
| 43 |1 |0 |0.57381759 |0.57381759 |0.5916641  |0.98670027 |0.99933639 |0.99997591 |0.99999968 |1.
| 44 |1 |0 |0.55527999 |0.55527999 |0.57253118 |0.9860858  |0.99933639 |0.99997402 |0.99999966 |1.
| 45 |1 |0 |0.53661337 |0.53661337 |0.55326523 |0.98546706 |0.99933639 |0.99997199 |0.99999963 |1.
| 46 |1 |0 |0.51784231 |0.51784231 |0.53389162 |0.98484486 |0.99933639 |0.99996982 |0.9999996  |1.
| 47 |1 |0 |0.49899288 |0.49899288 |0.51443726 |0.98422006 |0.99933639 |0.99996749 |0.99999957 |1.
| 48 |1 |0 |0.48009258 |0.48009258 |0.49493058 |0.98359358 |0.99933639 |0.99996499 |0.99999954 |1.
| 49 |1 |0 |0.46117034 |0.46117034 |0.47540143 |0.98296637 |0.99933639 |0.9999623  |0.9999995  |1.
| 50 |1 |0 |0.4422564  |0.4422564  |0.45588105 |0.98233944 |0.99933639 |0.99995941 |0.99999946 |1.
